age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback
23,F,B8NZ6LV,City,Silver Membership,16-03-2017,?,CID5126,Credit/Debit Card Offers,Smartphone,Wi-Fi,5:21:26,22,335.96,29376.78,50.99914883,615.35,No,Yes,Yes,No Information Available,Poor Website
18,M,13YB89U,Village,No Membership,18-06-2017,?,CID5633,Gift Vouchers/Coupons,Desktop,Mobile_Data,18:38:17,8,30.58,14304.19,23,416.792663,Yes,No,Yes,Unsolved,Too many ads
59,F,K7PQQZ3,City,Basic Membership,02-05-2015,Yes,CID19349,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11:21:06,4,-862.2349586,41612.38,15,654.15,No,Yes,No,Not Applicable,No reason specified
47,F,F6K6MMF,Town,No Membership,20-12-2017,Yes,CID19132,Without Offers,Smartphone,Wi-Fi,18:25:48,17,31.81,7083.79,21,1535.491815,No,Yes,Yes,Unsolved,No reason specified
48,F,WI1C7TK,Town,Platinum Membership,12-07-2015,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,5:26:48,10,374.88,46858.46,14,,No,Yes,Yes,Solved,Poor Product Quality
12,F,93CXVA0,Town,Basic Membership,06-07-2016,Yes,CID25492,Without Offers,Desktop,Mobile_Data,7:55:32,13,655.94,45014.31,25,956.1955478,Yes,Yes,Yes,Solved in Follow-up,Poor Website
34,M,NDDIQCB,Town,Silver Membership,12-09-2016,Yes,CID9637,Gift Vouchers/Coupons,Desktop,Fiber_Optic,17:09:01,19,34.69,13603.58,43.45032795,702.14,Yes,No,No,Not Applicable,Poor Customer Service
40,F,2NRZKXR,,Silver Membership,20-05-2015,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,14:51:17,18,48.14,50140.3,14,738.71,No,Yes,Yes,Solved,Quality Customer Care
32,M,2ECYRG7,Village,Basic Membership,22-09-2015,Yes,CID40553,Gift Vouchers/Coupons,Smartphone,Mobile_Data,2:31:12,12,33.55,23422.51,13,658.88,Yes,No,No,Not Applicable,Poor Customer Service
10,M,1Y0B760,City,Premium Membership,13-04-2016,Yes,CID50067,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,3:59:11,-999,218.08,43692.12,26,732.05,Yes,No,Yes,Unsolved,No reason specified
27,M,JVIZI7E,City,Silver Membership,16-07-2017,Yes,CID55562,Credit/Debit Card Offers,?,Mobile_Data,18:21:54,22,78.06,10239.56,21,710.01,No,Yes,No,Not Applicable,Poor Customer Service
63,M,1CNXCM8,Town,Premium Membership,03-11-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Fiber_Optic,23:16:19,6,407.3,34223.03,Error,773.43,No,Yes,No,Not Applicable,Poor Website
64,M,OT5CZU6,,Silver Membership,07-07-2017,?,CID46256,Credit/Debit Card Offers,?,Mobile_Data,22:43:18,9,53.43,2702.51,9,703.56,Yes,No,No,Not Applicable,Poor Product Quality
34,M,IB3B1GF,,Gold Membership,20-05-2016,?,CID36035,Without Offers,Desktop,Wi-Fi,23:11:54,8,68.84,35424.56,Error,719.38,No,Yes,Yes,Solved,Too many ads
42,F,IO1QMJ9,Village,Basic Membership,26-06-2015,Yes,CID22684,Gift Vouchers/Coupons,Desktop,Fiber_Optic,4:01:32,7,292.64,38836.66,28,689.76,No,Yes,No,Not Applicable,Too many ads
35,M,H74NFHG,Village,Platinum Membership,22-12-2015,?,CID11295,Gift Vouchers/Coupons,Desktop,Wi-Fi,10:49:53,25,88.04,28314.96,11,727.9,Yes,No,Yes,Unsolved,Reasonable Price
12,F,CX5ZLI5,City,Basic Membership,21-02-2017,Yes,CID48806,Without Offers,Desktop,Mobile_Data,0:35:51,21,177.74,47397.1,9,686.5,Yes,No,No,Not Applicable,No reason specified
22,F,7G6LHKW,,Gold Membership,26-05-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,19:46:50,5,169.88,75278.44,6,704.45,No,Yes,No,Not Applicable,Quality Customer Care
55,M,AY2EJUD,City,No Membership,30-06-2015,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,6:15:32,-999,300.19,27679.87,7,664.98,Yes,No,No,Not Applicable,Poor Customer Service
53,M,CY5KJ71,City,No Membership,15-12-2017,Yes,CID9157,Credit/Debit Card Offers,Smartphone,Mobile_Data,1:24:57,12,88.61,48286.51,18,649.29,No,Yes,Yes,No Information Available,Poor Product Quality
58,F,NYGNNEE,City,Platinum Membership,30-06-2017,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,13:02:21,15,297.95,47666.06,9,,Yes,No,Yes,No Information Available,User Friendly Website
11,F,HPTHCX0,Town,Premium Membership,28-06-2015,Yes,CID52066,Without Offers,Smartphone,Wi-Fi,10:22:12,22,32.97,36859.38,8,784.7,No,Yes,No,Not Applicable,Too many ads
11,M,EJMHFOS,Town,Gold Membership,16-09-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Wi-Fi,23:06:13,-999,255.08,2077.12,12,789.09,No,Yes,No,Not Applicable,Poor Customer Service
28,F,X42CIP8,City,No Membership,01-01-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,2:35:31,2,-771.2107797,11884.25,26,679.55,No,Yes,Yes,No Information Available,Poor Website
39,F,W1W24BE,City,No Membership,05-06-2015,Yes,CID44319,Without Offers,Smartphone,Mobile_Data,0:49:07,19,98.04,14953.59,14,560.29,No,Yes,Yes,No Information Available,Poor Website
33,F,TYX8T27,City,Platinum Membership,03-05-2017,No,xxxxxxxx,Without Offers,?,Fiber_Optic,22:16:18,11,241.28,16785.31,24,712.25,No,Yes,No,Not Applicable,Poor Customer Service
24,F,4ZWARGV,,Gold Membership,21-11-2016,Yes,CID57918,Without Offers,Smartphone,Mobile_Data,17:03:12,16,77.66,31022.94,19,365.8065639,Yes,No,No,Not Applicable,Poor Customer Service
42,M,8TK5AG0,Town,Silver Membership,25-08-2016,Yes,CID45461,Credit/Debit Card Offers,Desktop,Wi-Fi,8:25:59,16,567.17,24352.98,18,794.13,Yes,No,No,Not Applicable,Poor Customer Service
47,M,W2REI3A,Town,Premium Membership,23-01-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,3:35:55,-999,147.27,1124.1,5,715.81,No,Yes,Yes,Solved,Poor Product Quality
36,M,E5XZW1A,,Gold Membership,18-10-2015,Yes,CID23353,Credit/Debit Card Offers,Desktop,Fiber_Optic,7:42:56,14,192.1,10740.94,26,623.22,Yes,No,No,Not Applicable,No reason specified
61,M,ATZYT8F,Town,Platinum Membership,22-12-2015,No,xxxxxxxx,,Desktop,Mobile_Data,16:48:43,5,101.43,45732.2,14,717.41,Yes,No,No,Not Applicable,Too many ads
58,M,INBDQTR,City,Basic Membership,19-07-2017,Yes,CID16630,Without Offers,Smartphone,Mobile_Data,19:13:28,15,1207.397141,33504.27,13,661.25,Yes,No,No,Not Applicable,Too many ads
25,F,AT6BRFK,City,Gold Membership,01-01-2017,Yes,CID49528,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,20:43:26,10,106.99,39051.49,3,751.71,No,Yes,Yes,No Information Available,Quality Customer Care
14,M,EBH64XF,,Premium Membership,17-07-2016,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,15:21:07,12,123.48,26490.59,8,303.4882862,No,Yes,No,Not Applicable,Too many ads
13,M,IK5ARZ0,Town,Gold Membership,12-08-2016,No,xxxxxxxx,Credit/Debit Card Offers,?,Fiber_Optic,5:32:31,9,487.78,19253.09,25,714.08,No,Yes,No,Not Applicable,Poor Product Quality
14,F,HCXG7GN,Village,Platinum Membership,06-10-2016,?,CID57615,Without Offers,Desktop,Mobile_Data,20:13:47,-999,75.51,42805.68,23,771.46,No,Yes,Yes,Solved,No reason specified
44,F,GT8PSU7,City,Silver Membership,01-02-2016,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,23:42:33,16,390.49,52232.48,5,777.89,Yes,No,Yes,Solved in Follow-up,Quality Customer Care
10,M,A5Z4K8H,,Silver Membership,22-04-2016,Yes,CID35142,Gift Vouchers/Coupons,Desktop,Fiber_Optic,2:44:48,7,135.88,36488.45,6,1009.550645,No,Yes,No,Not Applicable,No reason specified
35,M,974SOA9,Village,Platinum Membership,06-07-2017,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,22:14:53,13,31.68,18583.53,7,773.5,Yes,No,Yes,No Information Available,Poor Website
58,F,3RTY939,City,Premium Membership,19-03-2016,Yes,CID61832,Credit/Debit Card Offers,Smartphone,Mobile_Data,22:19:19,17,549.69,27295.39,6,792.34,Yes,Yes,No,Not Applicable,No reason specified
10,F,YI2LEZS,Town,Platinum Membership,16-08-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,7:45:58,13,90.87,11931.11,Error,754.24,Yes,No,Yes,Unsolved,Poor Product Quality
19,F,IBESCPQ,,No Membership,13-10-2015,Yes,CID29197,Without Offers,Smartphone,Fiber_Optic,19:07:18,16,196.15,33087.91,-1.309280963,680.7,No,Yes,Yes,Solved,Poor Product Quality
41,M,W04BJ1S,City,Basic Membership,19-04-2016,No,xxxxxxxx,Gift Vouchers/Coupons,?,Fiber_Optic,6:10:25,8,226.88,1115.23,42.15055139,516.45,No,Yes,Yes,Solved,Too many ads
26,M,IDUY14V,Town,No Membership,15-12-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,3:47:42,14,131.36,30960.47,7,1000.926591,No,Yes,No,Not Applicable,No reason specified
18,M,F1OEIWO,City,Gold Membership,27-09-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,16:10:12,20,305.4,92030.64,Error,787.76,No,Yes,No,Not Applicable,User Friendly Website
12,M,G4JHKKR,Town,Gold Membership,17-11-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,2:56:47,11,95.02,19653.3,3,750.66,Yes,No,Yes,Unsolved,User Friendly Website
43,M,1N69WDA,Village,Basic Membership,17-10-2017,?,CID36204,Credit/Debit Card Offers,Smartphone,Fiber_Optic,23:56:41,9,135.1,7796.27,Error,275.0813155,Yes,No,No,Not Applicable,Poor Website
29,M,F96OG4U,,Premium Membership,29-10-2015,Yes,CID50073,Without Offers,Desktop,Mobile_Data,10:53:30,15,152.46,4895.48,22,,No,Yes,Yes,No Information Available,No reason specified
24,M,PLVULXG,City,Basic Membership,06-06-2016,Yes,CID33232,Gift Vouchers/Coupons,Desktop,Mobile_Data,6:03:00,19,93.58,12578.64,24,715.03,Yes,No,No,Not Applicable,No reason specified
55,F,XLU5381,,Platinum Membership,17-04-2015,?,CID35433,Without Offers,Desktop,Wi-Fi,21:54:49,-999,71.23,12459.11,10,756.8,Yes,No,Yes,Unsolved,Poor Customer Service
40,F,YY5DU04,Town,No Membership,21-06-2017,Yes,CID50788,Credit/Debit Card Offers,Desktop,Fiber_Optic,5:46:42,22,33.04,27770.61,8,,No,Yes,No,Not Applicable,Poor Customer Service
25,F,42RSVBI,City,Gold Membership,15-09-2015,Yes,CID6744,Credit/Debit Card Offers,Smartphone,Fiber_Optic,8:04:38,22,68.14,32389.67,5,716.94,No,Yes,No,Not Applicable,No reason specified
55,M,2DJSDW1,Town,Basic Membership,07-10-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,5:53:40,21,51.75,27564.76,24,660.59,No,Yes,No,Not Applicable,Too many ads
26,M,N3231LU,Town,Premium Membership,16-08-2015,?,CID57257,Credit/Debit Card Offers,Desktop,Wi-Fi,14:47:22,3,32.0,28442.56,Error,764.46,No,Yes,No,Not Applicable,Poor Product Quality
35,M,5FI2BMI,Village,Premium Membership,29-01-2015,Yes,CID37145,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,20:12:59,-999,34.97,43285.98,16,1099.061086,No,Yes,No,Not Applicable,No reason specified
14,M,32H5WDY,City,Gold Membership,26-08-2015,Yes,CID59750,Gift Vouchers/Coupons,Smartphone,Mobile_Data,15:38:22,18,50.23,31397.95,8,615.75,No,Yes,Yes,Unsolved,No reason specified
36,M,7GI4NWL,City,Silver Membership,04-02-2016,Yes,CID39725,Credit/Debit Card Offers,Desktop,Wi-Fi,5:15:50,16,63.61,29270.97,5,735.82,No,Yes,No,Not Applicable,Poor Product Quality
31,M,7DWEEO8,Village,Silver Membership,23-02-2015,No,xxxxxxxx,Without Offers,?,Mobile_Data,10:04:56,16,46.7,31002.45,5,198.5776335,Yes,No,No,Not Applicable,Too many ads
59,F,ZBUTOAL,City,Silver Membership,08-04-2017,?,CID51351,Without Offers,Smartphone,Fiber_Optic,4:44:27,11,31.41,11267.36,21,731.74,Yes,No,No,Not Applicable,No reason specified
54,F,0F28KWP,City,Silver Membership,15-02-2016,Yes,CID59824,Credit/Debit Card Offers,Smartphone,Fiber_Optic,17:38:41,7,62.65,8992.2,11,676.5,No,Yes,No,Not Applicable,Poor Customer Service
61,M,22D3HFF,Town,Premium Membership,25-08-2016,?,CID54327,Credit/Debit Card Offers,Desktop,Mobile_Data,22:32:08,8,177.3,18824.72,22,786.35,No,Yes,Yes,Solved,Poor Customer Service
24,M,65SMGK6,City,Premium Membership,21-10-2016,?,CID10528,Gift Vouchers/Coupons,?,Wi-Fi,20:05:13,-999,30.84,28152.29,27,1063.324082,No,Yes,Yes,Solved in Follow-up,No reason specified
21,F,4U91M8T,,Basic Membership,23-05-2016,?,CID40118,,?,Wi-Fi,7:26:07,7,417.36,12389.6,11,656.46,Yes,No,Yes,Solved,No reason specified
15,M,OP2HONU,City,Silver Membership,08-03-2017,Yes,CID41722,Gift Vouchers/Coupons,Both,Mobile_Data,19:35:57,11,915.38,1810.79,8,699.32,No,Yes,Yes,Solved,Poor Website
63,M,MKFN6JC,Town,Silver Membership,04-10-2015,Yes,CID10637,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,16:04:57,17,183.31,31001.74,21,788.83,No,Yes,No,Not Applicable,Poor Product Quality
45,M,5DOOQOK,Town,Platinum Membership,31-05-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,22:49:14,16,342.37,18264.2,41.84419523,758.63,No,Yes,No,Not Applicable,Poor Product Quality
10,F,PWVGOII,City,Gold Membership,18-03-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,15:27:41,6,148.62,78621.1,5,96.14486686,Yes,No,Yes,Solved in Follow-up,Quality Customer Care
64,F,I9QKX97,City,No Membership,23-06-2016,No,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,11:16:28,11,394.87,21367.61,28,689.53,Yes,No,Yes,No Information Available,Poor Customer Service
23,F,FVDD4N0,City,Premium Membership,16-09-2017,Yes,CID262,Credit/Debit Card Offers,Desktop,Mobile_Data,15:36:55,23,87.94,99507.46,2,717.16,No,Yes,Yes,Solved in Follow-up,Reasonable Price
60,M,0F4MANP,City,No Membership,22-01-2015,?,CID31796,Credit/Debit Card Offers,Smartphone,Mobile_Data,23:32:18,10,514.63,24343.07,15,1078.505808,No,Yes,No,Not Applicable,Poor Website
16,F,V2L28YT,City,No Membership,06-03-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,2:52:22,11,75.25,12153.96,21,,No,Yes,Yes,Solved,Too many ads
30,M,NLNDDG3,Village,No Membership,02-03-2017,Yes,CID55471,Credit/Debit Card Offers,?,Fiber_Optic,10:23:18,19,31.42,36428.1,28,666.16,Yes,No,No,Not Applicable,Poor Customer Service
57,F,N5D384S,City,Basic Membership,25-12-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,8:26:07,14,319.1,28189.76,Error,321.7013099,Yes,Yes,No,Not Applicable,Poor Website
17,M,S3K1J3E,City,No Membership,22-11-2015,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,5:23:12,-999,322.92,23943.12,23,630.4,Yes,Yes,Yes,Unsolved,Too many ads
63,F,KG9NO8H,City,Gold Membership,07-08-2017,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,1:45:46,10,168.13,34004.07,-9.769804491,842.94,Yes,No,No,Not Applicable,User Friendly Website
36,F,LPMEKDU,Town,Gold Membership,13-03-2017,Yes,CID13740,Gift Vouchers/Coupons,Desktop,Fiber_Optic,2:45:55,8,1321.356828,18631.43,Error,788.36,No,Yes,No,Not Applicable,Poor Customer Service
21,F,DGPHA57,Village,No Membership,15-03-2015,Yes,CID21446,Gift Vouchers/Coupons,Desktop,Wi-Fi,5:43:26,14,84.25,8876.96,28,309.4758658,Yes,No,Yes,No Information Available,Poor Product Quality
61,F,5H15E14,Town,Platinum Membership,16-12-2017,Yes,CID28236,Without Offers,Smartphone,Mobile_Data,8:30:43,12,33.74,20300.66,17,1111.956469,No,Yes,Yes,Unsolved,Poor Website
14,F,EBDN0OP,City,Gold Membership,17-10-2015,Yes,CID8068,Without Offers,Desktop,Mobile_Data,7:00:01,14,133.46,38289.29,19,315.4942368,Yes,No,Yes,Unsolved,No reason specified
57,F,ML7IKBR,,Silver Membership,13-09-2015,Yes,CID50420,Without Offers,Desktop,Mobile_Data,0:02:09,19,1408.78,25846.93,22,,Yes,No,No,Not Applicable,Poor Product Quality
53,F,7NZSJCI,Town,No Membership,24-10-2017,Yes,CID4243,Without Offers,?,Fiber_Optic,16:05:49,19,1309.55,2603.41,6,,No,Yes,No,Not Applicable,Poor Product Quality
23,M,BLUC21O,City,Basic Membership,17-12-2016,Yes,CID42299,Credit/Debit Card Offers,Desktop,Mobile_Data,11:39:34,16,32.69,34447.18,22,638.84,Yes,No,Yes,Solved,Poor Website
50,M,TWUL2FG,Town,Silver Membership,04-08-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20:22:22,16,71.7,13896.29,20,637.94,No,Yes,No,Not Applicable,Poor Customer Service
21,F,74ZHT4P,City,No Membership,08-03-2017,Yes,CID58198,Without Offers,Smartphone,Wi-Fi,2:09:04,15,428.59,33697.47,13,772.8656326,No,Yes,No,Not Applicable,Too many ads
33,M,Y5Q21A1,City,Platinum Membership,03-04-2017,Yes,CID63565,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8:38:10,9,275.69,61924.02,16,778.79,No,Yes,Yes,Solved in Follow-up,Quality Customer Care
40,M,W83B04M,,Basic Membership,10-09-2017,?,CID41847,Credit/Debit Card Offers,Both,Fiber_Optic,15:32:37,-999,822.45,32263.75,28,612.81,No,Yes,No,Not Applicable,Poor Website
29,M,ON33FTX,Village,Premium Membership,12-07-2017,Yes,CID1438,Gift Vouchers/Coupons,Smartphone,Mobile_Data,18:18:56,5,723.31,37094.39,4,775.45,Yes,Yes,Yes,Unsolved,Products always in Stock
48,M,6ZKWBUG,City,Gold Membership,07-05-2016,Yes,CID57103,Without Offers,Smartphone,Fiber_Optic,16:48:30,15,769.86,23134.09,Error,,Yes,No,Yes,Unsolved,Quality Customer Care
36,F,G9NIYG5,Village,Premium Membership,07-08-2015,Yes,CID40584,Without Offers,?,Wi-Fi,20:39:55,21,517.51,49029.98,10,843.07,Yes,Yes,Yes,Unsolved,Quality Customer Care
44,F,JNMVEXQ,City,Platinum Membership,14-03-2017,?,CID32524,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,16:25:40,8,85.83,55732.73,3,825.64,Yes,No,No,Not Applicable,Quality Customer Care
23,F,APRITO2,Town,Premium Membership,27-02-2016,?,CID10834,Gift Vouchers/Coupons,Desktop,Mobile_Data,23:33:49,16,344.41,49862.54,5,766.34,Yes,Yes,No,Not Applicable,Poor Product Quality
54,M,216WC0J,Town,Platinum Membership,23-12-2016,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,18:44:13,6,174.91,47210.52,15,799.25,No,Yes,No,Not Applicable,Poor Product Quality
44,F,0OZTKJ5,Town,Basic Membership,17-08-2017,Yes,CID40975,Gift Vouchers/Coupons,Both,Mobile_Data,13:28:07,6,245.81,4813.87,24,540.89,Yes,No,No,Not Applicable,Poor Product Quality
56,F,GAOR1HN,City,Silver Membership,26-11-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,16:03:44,8,50.53,22919.56,7,768.95,No,Yes,No,Not Applicable,Poor Website
39,M,6GMY9TX,Town,Premium Membership,26-08-2017,Yes,CID2251,Credit/Debit Card Offers,Smartphone,Wi-Fi,20:53:59,20,-608.6314982,18483.9,6,764.46,Yes,Yes,Yes,Solved,Poor Product Quality
52,F,HK51THS,Town,Gold Membership,16-06-2016,Yes,CID44380,Without Offers,Smartphone,Mobile_Data,18:31:06,15,32.43,5171.46,Error,670.52,Yes,No,Yes,No Information Available,Poor Customer Service
31,F,N68XLM3,Town,Gold Membership,12-03-2015,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,8:20:24,4,476.41,18003.01,16,1066.707979,Yes,Yes,Yes,Solved,Poor Customer Service
44,M,0KL5NLM,Village,No Membership,19-01-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Mobile_Data,16:22:28,22,222.26,32893.93,Error,606.78,Yes,No,No,Not Applicable,No reason specified
21,M,1HS0VA1,Town,Basic Membership,12-11-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,7:55:39,14,51.04,25813.37,5,557.06,No,Yes,Yes,Unsolved,No reason specified
62,M,UVC6SVA,Village,Gold Membership,04-10-2015,?,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,20:12:59,6,55.29,28013.01,28,681.05,No,Yes,Yes,Solved,Poor Website
31,M,ZH1X4P0,Town,Platinum Membership,13-04-2017,Yes,CID961,Gift Vouchers/Coupons,Desktop,Wi-Fi,20:30:58,16,113.21,12700.58,14,748.49,No,Yes,Yes,Solved,Poor Website
24,M,LW7VWUY,Town,Platinum Membership,07-11-2015,Yes,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,9:22:20,9,30.22,16285.1,12,772.9,Yes,No,No,Not Applicable,No reason specified
32,F,Z4DO7XV,Village,No Membership,21-05-2017,Yes,CID17329,Without Offers,Smartphone,Mobile_Data,14:40:43,11,36.12,9500.86,17,621.87,No,Yes,No,Not Applicable,Poor Product Quality
42,F,GZEYM4K,Town,Gold Membership,04-10-2016,Yes,CID33232,Credit/Debit Card Offers,Smartphone,Mobile_Data,20:17:05,14,662.51,9936.8,20,697.12,Yes,Yes,Yes,No Information Available,Poor Website
45,M,3SEICIA,Village,Silver Membership,20-07-2016,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,20:38:54,12,115.18,43726.23,16,709.98,No,Yes,Yes,Unsolved,Poor Customer Service
16,F,L2FTQA9,City,Basic Membership,05-10-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,5:22:55,10,30.0,41353.54,28.91053504,686.92,Yes,No,Yes,Solved in Follow-up,No reason specified
49,M,I90V0V7,Town,No Membership,09-08-2016,?,CID37229,Without Offers,?,Wi-Fi,0:06:04,15,330.71,1041.92,25,566.32,Yes,Yes,No,Not Applicable,Poor Customer Service
26,F,6725MV4,City,Basic Membership,21-03-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,5:05:55,12,1249.049823,30911.3,5,638.09,Yes,No,Yes,No Information Available,Poor Product Quality
11,F,DDS1WNO,Town,Silver Membership,28-04-2017,Yes,CID29388,Gift Vouchers/Coupons,Desktop,Mobile_Data,20:25:39,19,42.39,9373.82,23,730.85,Yes,No,No,Not Applicable,No reason specified
29,F,OMO7BXG,,Basic Membership,08-06-2015,No,xxxxxxxx,Credit/Debit Card Offers,Both,Wi-Fi,21:18:01,6,233.06,17580.97,9,397.2658314,No,Yes,Yes,Solved in Follow-up,No reason specified
23,F,Q08NHE7,Town,No Membership,03-08-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,20:17:05,20,164.98,7633.08,Error,,No,Yes,No,Not Applicable,Poor Customer Service
36,M,B0YK6BO,Town,Silver Membership,13-05-2017,Yes,CID3582,Without Offers,Desktop,Fiber_Optic,14:06:54,14,349.67,13787.84,26,627.16,No,Yes,Yes,Unsolved,Poor Customer Service
15,F,JXSZIV0,Village,Basic Membership,12-04-2016,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,1:29:14,5,382.01,33532.47,11,668.76,No,Yes,Yes,No Information Available,Poor Customer Service
59,F,2MX0EU1,Village,Silver Membership,05-06-2017,Yes,CID2066,Without Offers,Desktop,Fiber_Optic,22:36:20,10,1068.608275,27181.04,24,651.38,No,Yes,Yes,Solved in Follow-up,Poor Product Quality
27,M,9XXRLHF,City,No Membership,22-02-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,17:33:19,15,307.1,39458.53,22,615.11,Yes,No,No,Not Applicable,Poor Customer Service
35,F,RZZ09I2,Village,No Membership,29-12-2016,?,CID50704,Credit/Debit Card Offers,Smartphone,Fiber_Optic,7:58:35,11,321.69,7430.55,29,527.07,Yes,Yes,No,Not Applicable,No reason specified
40,F,KA10KAJ,Town,Platinum Membership,22-08-2015,?,CID4999,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11:27:38,18,251.06,63416.63,12,1087.184702,No,Yes,Yes,Solved in Follow-up,Products always in Stock
32,F,Y9QX1JA,Town,No Membership,14-08-2017,Yes,CID46212,Gift Vouchers/Coupons,Desktop,Fiber_Optic,19:25:18,20,162.29,28777.55,20,513.03,No,Yes,Yes,Unsolved,No reason specified
52,F,1AHYNSQ,Village,Platinum Membership,27-04-2016,Yes,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,13:59:20,14,105.03,36091.97,23,749.6,Yes,No,Yes,Solved,Poor Customer Service
17,F,IU2ABWO,City,Silver Membership,20-04-2017,Yes,CID54637,Gift Vouchers/Coupons,Desktop,Fiber_Optic,11:01:46,22,56.17,31823.76,12,1069.614669,No,Yes,Yes,Solved,Poor Website
28,F,ZBTZFUI,,Premium Membership,07-07-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,7:27:30,16,112.15,9737.88,12,725.57,Yes,No,Yes,Solved in Follow-up,User Friendly Website
14,M,BLP5E49,Village,Platinum Membership,03-12-2017,Yes,CID11790,Without Offers,Both,Wi-Fi,23:07:55,5,467.78,14628.69,11,807.25,No,Yes,Yes,Solved,Reasonable Price
13,M,ZMU9UMT,City,Basic Membership,08-01-2017,Yes,CID59044,Credit/Debit Card Offers,Desktop,Wi-Fi,9:06:26,20,1009.657785,8403.62,28,1048.853947,No,Yes,No,Not Applicable,Too many ads
62,M,YSRYPUV,City,No Membership,17-10-2016,Yes,CID49028,Gift Vouchers/Coupons,?,Wi-Fi,2:22:48,19,242.71,46825.95,19,697.48,Yes,No,Yes,Solved,Poor Product Quality
45,M,FNKI0L5,,No Membership,10-06-2015,?,CID35979,Without Offers,Desktop,Mobile_Data,14:46:42,17,80.58,37201.91,26,643.81,Yes,No,Yes,Solved in Follow-up,Too many ads
46,M,QE4J2AP,Village,Platinum Membership,08-11-2017,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,22:04:05,-999,51.38,36585.46,11,713.87,No,Yes,Yes,Solved in Follow-up,Poor Website
36,F,4XMZGUM,,No Membership,30-12-2017,Yes,CID40585,Credit/Debit Card Offers,Desktop,Wi-Fi,16:56:55,8,100.36,21016.76,17,,No,Yes,No,Not Applicable,Too many ads
